tabela,typ_kolumny,wierszy_legacy_dbr77,wierszy_kanoniczna_a3e05d4a
"api_logs","text","9113","75753"
"activity_logs","text","570","10620"
"audit_log","text","430","6563"
"artifact_lineage_events","text","236","375"
"v8_output_artifacts","text","185","519"
"v8_artifact_origin_links","text","178","455"
"collab_sessions","text","121","2606"
"artifact_lineage_receipts","text","73","66"
"tasks","text","56","141"
"v8_consumer_tool_policies","text","35","18"
"wave5_artifact_versions","text","31","230"
"document_studio_editor_audit","text","31","229"
"wave5_artifacts","text","31","206"
"document_lifecycle_states","text","31","93"
"artifact_evidence","text","31","75"
"document_studio_schema_overlay","text","31","43"
"wave6_context_ledger","text","29","2932"
"conversations","text","24","467"
"notifications","text","24","271"
"presentation_decks","text","20","93"
"my_ideas","text","20","17"
"my_idea_maps","text","19","13"
"organization_context_items","text","18","1799"
"organization_context_claims","text","18","705"
"v8_tool_catalog","text","18","18"
"transformation_plan_steps","text","15","15"
"generated_workbooks","text","13","31"
"work_canvas_drafts","text","12","188"
"decisions","text","12","67"
"document_version_snapshots","text","12","49"
"project_role_templates","text","12","12"
"transformation_case_audit_events","text","11","9"
"v8_output_exports","text","10","54"
"document_studio_template_audit","text","10","24"
"feedback_items","text","9","17"
"organization_members","text","9","9"
"ai_chat_runs","text","8","1113"
"wave6_context_snapshots","text","8","1023"
"ai_quality_metrics","text","8","1020"
"ai_cost_usage","text","8","1019"
"presentation_runtime_events","text","8","28"
"presentation_export_records","text","8","12"
"initiatives","text","7","97"
"notification_dedup","text","7","97"
"tp_bases","text","7","25"
"interview_library_templates","text","7","21"
"users","text","7","9"
"raid_items","text","7","0"
"link_graph_edges","text","6","302"
"interview_questions","text","6","45"
"interview_evidence","text","6","2"
"meeting_participants","text","5","39"
"presentation_template_governance_events","text","5","19"
"meetings","text","5","10"
"rvn_platform_resource_visibility","text","4","151"
"knowledge_graph_entities","text","4","104"
"document_studio_templates","text","3","8"
"rvn_platform_visibility_policies","text","3","4"
"my_work_session_context","text","3","2"
"ai_usage_logs","text","2","885"
"presentation_templates","text","2","11"
"interview_sessions","text","2","9"
"v8_agent_proposal_governance_events","text","2","2"
"organization_media","text","2","0"
"v8_agent_admin_audit_events","text","2","0"
"v8_agent_tenant_activation_receipts","text","2","0"
"wave8_agent_tool_governance_events","text","2","0"
"rvn_kpi_measurements","text","1","1099"
"rvn_kpi_definition_versions","text","1","139"
"rvn_kpi_definitions","text","1","139"
"v8_execution_runs","text","1","131"
"v8_context_snapshots","text","1","76"
"work_canvas_proposals","text","1","53"
"okr_vnext_checkins","text","1","29"
"okr_vnext_key_results","text","1","29"
"projects","text","1","15"
"okr_vnext_objectives","text","1","11"
"assessments","text","1","10"
"ai_agent_plans","text","1","9"
"tp_base_templates","text","1","7"
"okr_vnext_sets","text","1","4"
"rvn_kpi_scorecards","text","1","4"
"rvn_roi_baselines","text","1","4"
"rvn_roi_cases","text","1","4"
"okr_vnext_checkin_occurrences","text","1","3"
"okr_vnext_cycles","text","1","3"
"ai_operator_plans","text","1","1"
"ai_operator_profiles","text","1","1"
"okr_vnext_program_policy_versions","text","1","1"
"okr_vnext_programs","text","1","1"
"organization_context_snapshots","text","1","1"
"rvn_kpi_deviation_cases","text","1","1"
"rvn_roi_post_investment_reviews","text","1","1"
"transformation_cases","text","1","1"
"transformation_plans","text","1","1"
"transformation_stage_proposals","text","1","1"
"v8_agent_proposal_versions","text","1","1"
"v8_agent_run_identities","text","1","1"
"transformation_planning_intakes","text","1","0"
"knowledge_chunks","text","0","7600"
"tool_session_presence","text","0","1873"
"finance_legacy_usage_events","text","0","896"
"canonical_inbox_items","text","0","568"
"v8_artifact_run_audit_log","text","0","521"
"financial_statement_line_aliases","text","0","483"
"deliverables_generation_events","text","0","271"
"ie_audit_events","text","0","260"
"ie_command_receipts","text","0","260"
"ie_outbox_events","text","0","260"
"finance_stmt_lines","text","0","238"
"interview_insight_evidence_pointers","text","0","205"
"rvn_kpi_scorecard_items","text","0","181"
"ie_initiative_card_versions","text","0","164"
"interview_report_pack_worksheets","text","0","150"
"radar_actions","text","0","142"
"v8_artifact_runs","text","0","129"
"ie_aggregate_state","text","0","115"
"tool_sessions","text","0","115"
"ai_actions","text","0","109"
"ai_run_ledger","text","0","109"
"interview_assignments","text","0","109"
"teresa_proposals","text","0","109"
"financial_statement_quality_runs","text","0","103"
"research_session_events","text","0","89"
"radar_ranked_signals","text","0","86"
"initiative_gate_ai_events","text","0","84"
"notebook_embeddings","text","0","84"
"interview_insight_audit_log","text","0","69"
"ie_aggregate_relations","text","0","68"
"conclusions","text","0","62"
"interview_insight_findings","text","0","62"
"conclusion_source_packs","text","0","61"
"interview_insight_candidates","text","0","54"
"idea_workspace_lock_events","text","0","53"
"kpi_scorecard_items","text","0","53"
"financial_statements","text","0","50"
"notebook_pages","text","0","48"
"knowledge_doc_versions","text","0","47"
"knowledge_docs","text","0","47"
"finance_statement_source_receipts","text","0","44"
